store,category,brand,model_name,variant,ram,storage,price,price_text,currency,product_url,source_url,in_stock,scraped_at
GadgetByte Nepal,Mobiles,Poco,POCO F8 Pro,12GB/512GB,12GB,512GB,99999,"Rs. 99,999 (12/512GB)",NPR,https://www.gadgetbytenepal.com/poco-f8-pro-price-nepal/,https://www.gadgetbytenepal.com/poco-phones-price-nepal/,,2026-07-03T02:26:31.533114+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17 Pro Max,256GB,,256GB,242999,"NPR 242,999 (256GB)",NPR,https://www.gadgetbytenepal.com/iphone-17-pro-max-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.122449+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17 Pro Max,512GB,,512GB,300199,"NPR 300,199 (512GB)",NPR,https://www.gadgetbytenepal.com/iphone-17-pro-max-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.122541+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17 Pro Max,1TB,,1TB,342499,"NPR 342,499 (1TB)",NPR,https://www.gadgetbytenepal.com/iphone-17-pro-max-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.122599+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17 Pro Max,2TB,,2TB,426999,"NPR 426,999 (2TB)",NPR,https://www.gadgetbytenepal.com/iphone-17-pro-max-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.122652+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17 Pro,256GB,,256GB,236899,"NPR 236,899 (256GB)",NPR,https://www.gadgetbytenepal.com/iphone-17-pro-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.122782+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17 Pro,512GB,,512GB,279099,"NPR 279,099 (512GB)",NPR,https://www.gadgetbytenepal.com/iphone-17-pro-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.122838+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17 Pro,1TB,,1TB,321299,"NPR 321,299 (1TB)",NPR,https://www.gadgetbytenepal.com/iphone-17-pro-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.122892+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone Air,256GB,,256GB,190699,"NPR 190,699 (256GB)",NPR,https://www.gadgetbytenepal.com/iphone-air-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.123018+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone Air,512GB,,512GB,232899,"NPR 232,899 (512GB)",NPR,https://www.gadgetbytenepal.com/iphone-air-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.123072+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone Air,1TB,,1TB,275099,"NPR 275,099 (1TB)",NPR,https://www.gadgetbytenepal.com/iphone-air-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.123122+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17,256GB,,256GB,163499,"NPR 163,499 (256GB)",NPR,https://www.gadgetbytenepal.com/iphone-17-price-in-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.123243+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 17,512GB,,512GB,215699,"NPR 215,699 (512GB)",NPR,https://www.gadgetbytenepal.com/iphone-17-price-in-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.123300+00:00
GadgetByte Nepal,Mobiles,Apple,iPhone 16,128GB,,128GB,146599,"NPR 146,599 (128GB)",NPR,https://www.gadgetbytenepal.com/iphone-16-price-nepal/,https://www.gadgetbytenepal.com/apple-iphone-price-nepal/,,2026-07-03T02:26:32.123416+00:00
