store,category,brand,model_name,variant,ram,storage,price,price_text,price_type,currency,product_url,source_url,in_stock,scraped_at
Hukut,Mobiles,Infinix,Infinix Note 60 Pro,,,,59999,"Rs. 59,999",starting,NPR,https://hukut.com/infinix-note-60-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.274562+00:00
Hukut,Mobiles,Motorola,Moto G05,,,,12499,"Rs. 12,499",starting,NPR,https://hukut.com/motorola-moto-g05,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.275453+00:00
Hukut,Mobiles,Motorola,Moto G35,,,,19999,"Rs. 19,999",starting,NPR,https://hukut.com/motorola-moto-g35-5G,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.275631+00:00
Hukut,Mobiles,Motorola,Moto G45,,,,24999,"Rs. 24,999",starting,NPR,https://hukut.com/motorola-moto-g45-5G,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.275773+00:00
Hukut,Mobiles,Motorola,Moto G64,,,,27499,"Rs. 27,499",starting,NPR,https://hukut.com/motorola-moto-g64-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.275903+00:00
Hukut,Mobiles,Motorola,Moto G85,,,,34499,"Rs. 34,499",starting,NPR,https://hukut.com/motorola-moto-g85-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.276032+00:00
Hukut,Mobiles,Motorola,Moto G96,,,,44999,"Rs. 44,999",starting,NPR,https://hukut.com/motorola-g96-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.276158+00:00
Hukut,Mobiles,Motorola,Moto Edge 50 Fusion,,,,46999,"Rs. 46,999",starting,NPR,https://hukut.com/motorola-edge-50-fusion,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.276315+00:00
Hukut,Mobiles,ZTE,RedMagic 11 Pro,,,,164999,"Rs. 164,999",starting,NPR,https://hukut.com/zte-nubia-redmagic-11-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.279314+00:00
Hukut,Mobiles,AI Plus,Ai+ Pulse,,,,14999,"Rs. 14,999",starting,NPR,https://hukut.com/ai+-pulse,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.280344+00:00
Hukut,Mobiles,AI Plus,Ai+ Nova 5G,,,,18499,"Rs. 18,499",starting,NPR,https://hukut.com/ai+-nova,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.280511+00:00
Hukut,Mobiles,Tecno,Tecno Spark 30C,,,,16490,"Rs. 16,490",starting,NPR,https://hukut.com/tecno-spark-30c,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.281493+00:00
Hukut,Mobiles,Tecno,Tecno Spark 30,,,,22490,"Rs. 22,490",starting,NPR,https://hukut.com/tecno-spark-30,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.281656+00:00
